연도,행정구역,연앙인구수(명),연앙인구수(천명),지역내총생산,재정자립도(%),통계방식변경,전체산업사업체수,전체산업종사자수,제조업종사자수,상용월평균급여(원),학교수,문화기반시설수,문화예술활동(건),19세,20~24세,25~29세,30~34세,35~39세
2022,대구광역시,2364488.0,2364.488,70327334.0,47.89,1.0,279223.0,1014987.0,169297.0,3426293.0,13.0,95.0,2345.0,23675.0,139971.0,151670.0,136847.0,136438.0
2022,대전광역시,1442984.5,1442.9845,50666636.0,42.4,1.0,164664.0,695570.0,69175.0,3810834.0,20.0,61.0,1481.0,19734.0,108284.0,110202.0,93926.0,89837.0
2022,부산광역시,3316707.0,3316.707,113844056.0,46.9,1.0,400565.0,1554664.0,210883.0,3638757.0,23.0,143.0,2926.0,29653.0,184910.0,208529.0,192116.0,191196.0
2022,서울특별시,9378610.0,9378.61,528484481.0,76.31,1.0,1180025.0,5795417.0,261088.0,4555258.0,88.0,449.0,15377.0,84718.0,565833.0,785912.0,720569.0,640145.0
2022,세종특별자치시,376991.0,376.991,16055841.0,56.9,1.0,33076.0,158168.0,22513.0,3983956.0,4.0,26.0,273.0,4558.0,20585.0,20732.0,26610.0,32459.0
2022,울산광역시,1112600.0,1112.6,84886776.0,48.74,1.0,115784.0,547780.0,176701.0,4532594.0,6.0,46.0,719.0,8458.0,54844.0,68565.0,66420.0,70859.0
2022,인천광역시,2939962.0,2939.962,113253070.0,52.77,1.0,317133.0,1250203.0,252668.0,3698625.0,10.0,127.0,1349.0,26438.0,158558.0,203164.0,196346.0,194322.0
2022,전국,51259149.5,51259.1495,,,,,,,,,,,473234.0,2879013.0,3384426.0,3179338.0,3210198.0
2022,전라남도,1820069.0,1820.069,96168598.0,24.24,1.0,236470.0,862357.0,128548.0,3866030.0,19.0,244.0,947.0,12569.0,80610.0,87050.0,76797.0,86917.0
2022,전북특별자치도,1772150.5,1772.1505,61285279.0,23.76,1.0,232695.0,795273.0,123074.0,3526045.0,20.0,191.0,1612.0,17809.0,103959.0,96505.0,82598.0,89067.0
2022,제주특별자치도,673714.0,673.714,24282333.0,32.72,1.0,96334.0,320419.0,13561.0,3216325.0,4.0,131.0,991.0,5343.0,32757.0,38912.0,36160.0,40779.0
2022,충청남도,2113857.5,2113.8575,140928250.0,33.05,1.0,266577.0,1092389.0,315551.0,4009848.0,24.0,193.0,1017.0,23300.0,121223.0,117652.0,117586.0,129570.0
2022,충청북도,1591003.5,1591.0035,84809085.0,30.24,1.0,197158.0,838620.0,231173.0,3737019.0,18.0,142.0,911.0,15625.0,91288.0,99612.0,89919.0,93175.0
2023,강원특별자치도,1526763.0,1526.763,62160748.0,25.42,1.0,209314.0,738221.0,63456.0,3555080.0,18.0,247.0,1580.0,14769.0,82793.0,83323.0,78642.0,75102.0
2023,경기도,13545542.5,13545.5425,594735127.0,60.5,1.0,1562116.0,6187581.0,1357108.0,4158552.0,78.0,622.0,5028.0,119452.0,695712.0,890257.0,920556.0,888943.0
